timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,importance,comment-body
1760115565,Fri Oct 10 2025 16:59:25 GMT+0000 (Coordinated Universal Time),509,157,3,5,-1,0,"Thats fair."
1760115608,Fri Oct 10 2025 17:00:08 GMT+0000 (Coordinated Universal Time),520,51,11,5,-1,2,"i agree , AI is the future"
1760115617,Fri Oct 10 2025 17:00:17 GMT+0000 (Coordinated Universal Time),525,120,37,46,1,11,"This will be an ultimate destruction of the human race."
1760045776,Thu Oct 09 2025 21:36:16 GMT+0000 (Coordinated Universal Time),0,0,80,22,1,10,"I worry that AI will make inequality between workers even worse than it is now."
1760045776,Thu Oct 09 2025 21:36:16 GMT+0000 (Coordinated Universal Time),1,0,72,15,1,13,"Big tech companies hoarding all the data is bad for real innovation in AI."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),2,0,92,14,1,16,"Feels like social media is being drowned in AI junk, and it’s getting harder to find real art by actual people."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),3,0,86,26,1,18,"I’m worried that all this endless AI-generated stuff is ruining our ability to pay attention."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),4,0,85,5,1,11,"People using AI tools also have to take some responsibility when they believe stuff that isn’t true."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),5,0,81,12,1,11,"The more companies use AI to make ads and blogs, the less space there is for human creativity."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),6,0,61,28,1,17,"The fossil fuels burned to train big AI models probably cancel out any environmental benefits they have."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),7,0,81,17,1,17,"Digging up all those rare minerals for AI chips is seriously harming the planet."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),8,0,58,24,1,16,"AI uses so much power that renewables alone can’t really keep up right now."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),9,0,86,16,1,12,"AI is moving so fast that governments don’t have a chance to keep up with it."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),10,0,54,34,1,14,"I worry that AI will keep repeating the same race and gender biases that are already baked into its data."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),11,0,80,20,1,14,"If AI wipes out enough jobs, it could really mess up whole economies."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),12,0,67,13,1,8,"We’re starting to lean on AI for everything, and that dependence feels risky."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),13,0,95,13,1,37,"AI-powered surveillance is a huge threat to personal privacy and basic rights."
1760045777,Thu Oct 09 2025 21:36:17 GMT+0000 (Coordinated Universal Time),14,0,66,17,1,5,"When we don’t understand how AI makes its choices, people naturally stop trusting it."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),15,0,90,4,1,16,"Making powerful AI models open to anyone sounds great, but it also means bad actors can misuse them."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),16,0,103,5,1,24,"Deepfakes are making it harder to believe what we see online."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),17,0,76,9,1,20,"When AI just makes stuff up, that false info spreads fast and can be dangerous."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),18,0,95,8,1,16,"I think AI companies should have to pay people when they use their data for training."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),19,0,91,6,1,21,"Our copyright laws weren’t built for AI content, and they really need an update."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),20,0,72,26,1,12,"Feels like AI-made songs are making it harder for real musicians to earn a living."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),21,0,95,12,1,26,"AI art systems are basically trained on artists’ work without asking them, and that’s not okay."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),22,0,86,11,1,17,"I think the AI industry should slow down and focus on safety first."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),23,0,86,9,1,14,"Losing jobs to AI could make people’s mental health a lot worse."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),24,0,69,32,1,16,"I’m worried AI tutors might end up replacing real teachers."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),25,0,105,16,1,27,"AI could seriously mess with democracy by spreading fake news and targeted manipulation."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),26,0,94,22,1,13,"AI-driven ads are scary good at exploiting people’s emotions and habits."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),27,0,81,24,1,9,"AI in hiring sounds efficient, but it could easily make bias worse."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),28,0,61,31,1,11,"If we’re not careful, AI might speed up environmental damage instead of helping."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),29,0,65,21,1,14,"Hardly anyone is putting real money into AI safety compared to what’s spent on building bigger models."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),30,0,84,5,1,23,"Hackers using AI could launch way more advanced cyberattacks."
1760045778,Thu Oct 09 2025 21:36:18 GMT+0000 (Coordinated Universal Time),31,0,84,12,1,19,"The idea of AI-controlled weapons honestly scares me—it’s a global danger."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),32,0,91,15,1,30,"War tech is adopting AI faster than anyone can write rules for it. I'm talking about autonomous weapons like drones that steer and make decisions on their own. "
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),33,0,86,5,1,15,"I think AI systems should have to clearly say when something they made isn’t human."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),34,0,68,32,1,19,"I’m afraid AI could make millions of people jobless."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),35,0,87,15,1,19,"AI is making it super easy for students to cheat or skip learning."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),36,0,94,12,1,13,"Chatbots pretending to be doctors feels risky—they can easily give wrong advice."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),37,0,68,24,1,9,"AI might end up helping rich people way more than poor ones, making the gap worse."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),38,0,80,15,1,10,"A lot of companies are already using AI to monitor their employees, and that’s creepy."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),39,0,100,23,1,20,"It worries me to think AI might replace real human judgment in courts or hospitals."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),40,0,86,8,1,13,"AI companies don’t really talk about how much energy and money go into training these models."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),41,0,41,44,1,16,"Facial recognition powered by AI ends up targeting minorities unfairly."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),42,0,50,21,1,9,"Using AI in policing might just make existing biases even harder to fix."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),43,0,85,37,1,28,"There’s no one to hold responsible when AI makes a bad or harmful decision."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),44,0,100,9,1,17,"It’s becoming too easy for people to copy or fake work using AI tools."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),45,0,67,22,1,13,"The global race for AI dominance could actually spark real conflicts between nations."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),46,0,85,9,1,18,"Massive AI models take an absurd amount of water and electricity to run."
1760045779,Thu Oct 09 2025 21:36:19 GMT+0000 (Coordinated Universal Time),47,0,79,24,1,11,"AI companies often hype their systems as smarter than they actually are, which misleads the public."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),48,0,95,15,1,17,"I worry that AI image generators will push out illustrators and designers who’ve trained for years."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),49,0,91,19,1,13,"Letting AI make more and more decisions for us might chip away at our own free will."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),50,0,38,24,1,4,"It’s sad that so much AI talent keeps leaving poorer countries for richer ones—it’s holding back local progress."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),51,0,75,15,1,12,"I think AI-driven trading will just give big Wall Street firms even more of an unfair edge."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),52,0,46,30,1,13,"A lot of these AI startups feel like a bubble that’s going to pop hard. And our 401k's and investment funds are going to get hurt by it."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),53,0,37,21,1,5,"Some AI startups are burning through money even faster than the dot-coms did, and they’ve got no clear way to make a profit."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),54,0,50,24,1,10,"The current AI funding craze feels exactly like the 90s internet bubble all over again."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),55,0,68,15,1,11,"Using AI to predict “risk” in courts just keeps bias alive in a new form."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),56,0,43,33,1,12,"Medical AIs trained mostly on city data don’t work well for rural patients. That's an equity problem on the top of my mind."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),57,0,73,21,1,14,"The global AI arms race feels dangerous. It’s pushing countries toward conflict instead of cooperation."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),58,0,83,19,1,15,"I’m not sure machines can ever really grasp human values. True ""alignment"" to our values and interests is probably impossible."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),59,0,50,47,1,17,"Superintelligent AI could honestly be a bigger extinction threat than climate change."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),60,0,87,17,1,18,"Most people don’t know enough about AI to have a real say in how it’s governed, and that worries me."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),61,0,33,48,1,5,"So many AI “solutions” just end up making the original problem worse."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),62,0,63,37,1,14,"Silicon Valley keeps pretending AI will change the world, but it really just keeps the same people in charge."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),63,0,43,52,1,10,"Self-driving cars and trucks are the thing we should be most concerned about, considering they could wipe hundreds of thousands of driving jobs."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),64,0,55,25,1,13,"If AGI ever really happens, it could be an existential threat to humanity itself."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),65,0,79,7,1,22,"We really need global rules and safety standards for AI before it gets out of control."
1760045780,Thu Oct 09 2025 21:36:20 GMT+0000 (Coordinated Universal Time),66,0,54,24,1,7,"It doesn’t seem fair that only huge tech companies can afford the computing power to build serious AI."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),67,0,79,23,1,11,"Data centers running AI should have to use only renewable energy — no excuses."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),68,0,77,16,1,10,"If companies scrape sites for AI training, they should pay the people who made that content."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),69,0,77,6,1,14,"Artists and writers deserve to be paid when AI learns from their work."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),70,0,100,4,1,22,"Social media should clearly mark AI-made posts so people know what’s real."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),71,0,95,5,1,14,"When energy is short, hospitals should come before AI data centers every time."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),72,0,92,7,1,20,"There should be global rules for AI, not just a free-for-all between countries."
1760045781,Thu Oct 09 2025 21:36:21 GMT+0000 (Coordinated Universal Time),73,0,30,44,1,4,"Some people think AI research should focus more on national defense than civilian stuff."
